station_id,name,longitude,latitude,altitude
2,BAHAWAL-NAGAR,73.25,29.95,161
3,BAHAWAL-PUR,71.783,29.333,461
4,DERA ISMAIL KHAN,70.917,31.817,171
5,FAISALABAD,73.1,31.433,186
6,HYDERABAD,68.417,25.383,28
7,JACOBABAD,68.467,28.3,55
8,JHELUM,73.717,32.933,287
9,KARACHI (AIRPORT),67.133,24.9,22
10,KHANPUR,70.683,28.65,88
11,LAHORE,74.333,31.55,215
12,MULTAN,71.433,30.2,122
13,MURREE,73.383,33.917,2291
14,NAWABSHAH,68.367,26.25,37
15,SIALKOT,74.533,32.5,256
